Planet,Distance from Sun (AU),Mass (kg),Diameter (km),Density (g/cm³),Number of Moons,Orbit Time (Earth years),Rotation Time (Earth hours),Escape Velocity (km/s),Average Temperature (°C)
Mercury,0.39,3.3011e23,4879,5.427,0,0.24,1407.6,4.25,127
Venus,0.72,4.8675e24,12104,5.243,0,0.62,-5832.5,10.36,462
Earth,1,5.97237e24,12742,5.514,1,1,-23.9 to 56.7,11.19,15
Mars,1.52,6.4171e23,6779,3.933,2,1.88,24.6,5.03,-63
Jupiter,5.20,1.8982e27,139820,1.326,79,11.86,9.9,59.5,-126
Saturn,9.58,5.6834e26,116460,0.687,82,29.46,10.7,35.5,-139
Uranus,19.18,8.6810e25,50724,1.270,27,84.01,-17.2,21.3,-197
Neptune,30.07,1.02413e26,49244,1.638,14,164.8,16.1,23.5,-201
